joint_subset,seed,auc_roc,auc_pr,eer,eer_threshold,num_samples
all,42,0.5299955389210577,0.0842843503008906,0.49454181828282545,1.8668385872019118,38968
arms,42,0.5013211116752955,0.09521091008253119,0.5549012527429794,1.9682010053574888,38968
legs,42,0.5861680601371154,0.08858209549824783,0.44126552040221106,1.9309046013520696,38968
body,42,0.6617856465751658,0.12198400740374937,0.39643343240465545,1.6373667747000826,38968
head,42,0.5623620236665897,0.07777317027386599,0.44920974417377296,1.911277641630564,38968
left_arm,42,0.547937294218328,0.11152326239980248,0.5012638537818394,1.8538169067233696,38968
right_arm,42,0.5282251784059439,0.09536822781756288,0.5120968861976056,1.8708202199155608,38968
left_leg,42,0.6702946601106942,0.11017373439065237,0.3729063081581067,1.8168674096400506,38968
right_leg,42,0.668062285690731,0.10459802437008975,0.37398961139968334,1.8346653780795918,38968
arm+body,42,0.5009225158493005,0.10121070192276393,0.5557067859226132,1.9116607519000608,38968
head+body,42,0.5315591868319353,0.07988715751421932,0.5135412905197078,1.832446186303981,38968
